City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Sao Desiderio,BR,-12.3633,-44.9733,64.31,75,94,3.94,overcast clouds
209,Semey,KZ,50.4111,80.2275,77.22,29,0,13.42,clear sky
210,Khandyga,RU,62.6667,135.6,82.17,40,21,5.35,few clouds
211,Muros,ES,42.7762,-9.0603,64.69,89,60,1.59,broken clouds
212,Fortuna,US,40.5982,-124.1573,55.35,88,36,1.68,scattered clouds
213,Richards Bay,ZA,-28.783,32.0377,61.59,55,23,15.05,few clouds
214,Coahuayana,MX,18.7333,-103.6833,79.25,87,93,0.74,overcast clouds
215,Baruun-Urt,MN,46.6806,113.2792,80.6,26,67,8.16,broken clouds
216,Yichang,CN,30.7144,111.2847,96.55,49,58,5.73,broken clouds
217,Arlit,NE,18.7369,7.3853,91.92,23,6,7.18,clear sky
218,Klaksvik,FO,62.2266,-6.589,49.12,91,77,20.71,broken clouds
219,Catuday,PH,16.2923,119.8062,84.83,72,56,5.7,light rain
220,Hithadhoo,MV,-0.6,73.0833,82.18,72,55,8.21,broken clouds
221,Umm Lajj,SA,25.0213,37.2685,87.42,65,44,13.71,scattered clouds
222,Caravelas,BR,-17.7125,-39.2481,68.09,84,81,6.13,broken clouds
223,Angoche,MZ,-16.2325,39.9086,75.4,63,4,7.02,clear sky
224,Mount Pleasant,US,32.7941,-79.8626,82.0,87,0,6.91,clear sky
225,Port Blair,IN,11.6667,92.75,84.65,74,94,8.03,overcast clouds
226,Shingu,JP,33.7333,135.9833,84.49,68,51,5.88,broken clouds
227,Mahebourg,MU,-20.4081,57.7,74.25,66,57,11.18,broken clouds
228,East London,ZA,-33.0153,27.9116,57.85,59,79,1.95,broken clouds
229,Vallenar,CL,-28.5708,-70.7581,56.41,75,4,1.77,clear sky
230,Ipixuna,BR,-1.7625,-48.8043,73.78,93,66,3.11,broken clouds
231,Washington,US,47.5001,-120.5015,74.64,41,42,6.24,scattered clouds
232,Hualmay,PE,-11.0964,-77.6139,60.71,88,58,9.04,broken clouds
233,Jaisalmer,IN,26.9147,70.9181,87.24,63,98,13.47,overcast clouds
234,Luwuk,ID,-0.9516,122.7875,85.28,63,77,7.11,broken clouds
235,Marienburg,PL,54.0359,19.0266,70.88,57,27,5.84,scattered clouds
236,Warrnambool,AU,-38.3833,142.4833,56.16,84,91,16.8,overcast clouds
237,Gigmoto,PH,13.7796,124.39,85.89,72,52,4.63,broken clouds
238,Cayenne,GF,4.9333,-52.3333,80.1,1,0,0.0,clear sky
239,Lavrentiya,RU,65.5833,-171.0,41.63,91,100,10.18,light rain
240,Sfantu Gheorghe,RO,45.8667,25.7833,72.93,66,69,0.58,broken clouds
241,Ambon,ID,-3.6954,128.1814,80.08,82,92,12.21,overcast clouds
242,Harper,LR,4.375,-7.7169,73.2,79,91,5.12,overcast clouds
243,Horsham,GB,51.064,-0.3272,66.33,80,40,8.05,scattered clouds
244,Katobu,ID,-4.9408,122.5276,81.36,72,66,1.39,broken clouds
245,Riyadh,SA,24.6877,46.7219,102.34,13,67,15.7,broken clouds
246,Nizhniy Kuranakh,RU,58.8353,125.4869,89.35,40,30,1.61,scattered clouds
247,Kimberley,ZA,-28.7323,24.7623,38.37,60,0,6.13,clear sky
248,Codrington,AU,-38.2667,141.9667,55.22,90,95,16.15,light rain
249,Mwense,ZM,-10.3845,28.698,68.5,50,16,7.7,few clouds
250,Norman Wells,CA,65.282,-126.8329,58.21,68,54,4.05,broken clouds
251,San Patricio,US,28.017,-97.5169,85.89,78,0,13.15,clear sky
252,Cabedelo,BR,-6.9811,-34.8339,70.47,84,37,13.65,scattered clouds
253,Florian,CO,5.8049,-73.9703,58.24,96,99,3.6,overcast clouds
